Date,USDTRY,WACF_RATE,CPI_INDEX,CPI_YOY,USDTRY_CHG_1M
2019-11-29,5.7528,11.29,435.59,8.552844718020292,-0.09724923589886636
2019-12-02,5.7579,11.11,437.25,10.56184889248508,0.37654934365358717
2019-12-03,5.7403,11.11,437.25,10.56184889248508,0.5605872151078328
2019-12-04,5.7426,11.11,437.25,10.56184889248508,0.4161712247324756
2019-12-05,5.7365,11.11,437.25,10.56184889248508,0.9378519144144226
2019-12-06,5.736,11.11,437.25,10.56184889248508,0.13616842987325128
2019-12-09,5.7488,10.85,437.25,10.56184889248508,0.01391788448155129
2019-12-10,5.7479,10.85,437.25,10.56184889248508,0.1969807900149778
2019-12-11,5.7905,10.85,437.25,10.56184889248508,0.828849535948728
2019-12-12,5.7987,10.85,437.25,10.56184889248508,0.490433938721746
2019-12-13,5.7982,10.85,437.25,10.56184889248508,0.5497268707188141
2019-12-16,5.7875,10.3,437.25,10.56184889248508,0.5245514390425976
2019-12-17,5.7726,10.3,437.25,10.56184889248508,0.27097446586763496
2019-12-18,5.8344,10.3,437.25,10.56184889248508,1.52079345745606
2019-12-19,5.8558,10.3,437.25,10.56184889248508,2.190112210530004
2019-12-20,5.8991,10.3,437.25,10.56184889248508,3.215929172571874
2019-12-23,5.9252,9.96,437.25,10.56184889248508,4.016571869952967
2019-12-24,5.9115,9.96,437.25,10.56184889248508,3.900098425196852
2019-12-25,5.9291,9.96,437.25,10.56184889248508,4.167325497636987
2019-12-26,5.9364,9.96,437.25,10.56184889248508,3.7995488800685484
2019-12-27,5.9293,9.96,437.25,10.56184889248508,3.3285119286199816
2019-12-30,5.9302,9.83,437.25,10.56184889248508,3.0837157558058825
2019-12-31,5.937,9.83,437.25,10.56184889248508,3.1105090397540724
2020-01-02,5.9402,9.83,440.5,11.836092210825644,3.4823963904325517
2020-01-03,5.94,9.83,440.5,11.836092210825644,3.4374673492842955
2020-01-06,5.9478,9.59,440.5,11.836092210825644,3.6834306632964386
2020-01-07,5.9627,9.59,440.5,11.836092210825644,3.9522315202231484
2020-01-08,5.9658,9.59,440.5,11.836092210825644,3.7747008071249644
2020-01-09,5.9594,9.59,440.5,11.836092210825644,3.6796047252039887
2020-01-10,5.9571,9.59,440.5,11.836092210825644,2.8771263276055503
2020-01-13,5.881,9.48,440.5,11.836092210825644,1.4192836325383373
2020-01-14,5.8713,9.48,440.5,11.836092210825644,1.26073609051085
2020-01-15,5.8529,9.48,440.5,11.836092210825644,1.130021598272135
2020-01-16,5.8811,9.48,440.5,11.836092210825644,1.879568998371628
2020-01-17,5.8827,9.48,440.5,11.836092210825644,0.8278486219662762
2020-01-20,5.8684,9.17,440.5,11.836092210825644,0.215171283172233
2020-01-21,5.8564,9.17,440.5,11.836092210825644,-0.7238392297130081
2020-01-22,5.8979,9.17,440.5,11.836092210825644,-0.4607439411327907
2020-01-23,5.9191,9.17,440.5,11.836092210825644,0.12856297048127185
2020-01-24,5.9293,9.17,440.5,11.836092210825644,0.0033731932333580517
2020-01-27,5.9152,9.17,440.5,11.836092210825644,-0.35711879253420564
2020-01-28,5.9288,9.17,440.5,11.836092210825644,-0.0084326986322103
2020-01-29,5.9371,9.17,440.5,11.836092210825644,0.11635357998043272
2020-01-30,5.9334,9.17,440.5,11.836092210825644,-0.060636685194548345
2020-01-31,5.9405,9.17,440.5,11.836092210825644,0.005050335005551965
2020-02-03,5.9716,9.15,446.45,12.153641319365939,0.5319865319865169
2020-02-04,5.9726,9.15,446.45,12.153641319365939,0.4169608931033242
2020-02-05,5.9755,9.15,446.45,12.153641319365939,0.21466785181210035
2020-02-06,5.9714,9.15,446.45,12.153641319365939,0.09386838311711276
2020-02-07,5.976,9.15,446.45,12.153641319365939,0.278551532033422
2020-02-10,5.9783,8.92,446.45,12.153641319365939,0.3558778600325718
2020-02-11,5.9776,8.92,446.45,12.153641319365939,1.6425777928923635
2020-02-12,5.9951,8.92,446.45,12.153641319365939,2.108561987975399
2020-02-13,6.0271,8.92,446.45,12.153641319365939,2.9763023458456495
2020-02-14,6.0215,8.92,446.45,12.153641319365939,2.3873084967097835
2020-02-17,6.0459,9.05,446.45,12.153641319365939,2.7742363200571107
2020-02-18,6.047,9.05,446.45,12.153641319365939,3.0434189898439046
2020-02-19,6.0351,9.05,446.45,12.153641319365939,3.0513626118434445
2020-02-20,6.0578,9.05,446.45,12.153641319365939,2.711134471591592
2020-02-21,6.0581,9.05,446.45,12.153641319365939,2.3483299825986848
2020-02-24,6.0824,8.92,446.45,12.153641319365939,2.582092321184626
2020-02-25,6.1023,8.92,446.45,12.153641319365939,3.163037598052476
2020-02-26,6.1383,8.92,446.45,12.153641319365939,3.53359870462826
2020-02-27,6.1218,8.92,446.45,12.153641319365939,3.110946421653682
2020-02-28,6.1463,8.92,446.45,12.153641319365939,3.5881619307648327
2020-03-02,6.1593,9.02,448.02,12.367384816031702,3.6831916505344564
2020-03-03,6.2259,9.02,448.02,12.367384816031702,4.2584901868846
2020-03-04,6.2192,9.02,448.02,12.367384816031702,4.128855104979401
2020-03-05,6.1943,9.02,448.02,12.367384816031702,3.66161827462137
2020-03-06,6.0904,9.02,448.02,12.367384816031702,1.992832501590902
2020-03-09,6.0772,8.83,448.02,12.367384816031702,1.6934404283801996
2020-03-10,6.0821,8.83,448.02,12.367384816031702,1.7362795443520707
2020-03-11,6.1098,8.83,448.02,12.367384816031702,2.211589935760183
2020-03-12,6.1151,8.83,448.02,12.367384816031702,2.0016346683124464
2020-03-13,6.1502,8.83,448.02,12.367384816031702,2.0424416385989907
2020-03-16,6.2264,9.02,448.02,12.367384816031702,3.4028066096487564
2020-03-17,6.2711,9.02,448.02,12.367384816031702,3.724838320183932
2020-03-18,6.3628,9.02,448.02,12.367384816031702,5.222424342649257
2020-03-19,6.4528,9.02,448.02,12.367384816031702,6.9211777766731375
2020-03-20,6.4512,9.02,448.02,12.367384816031702,6.49410677143516
2020-03-23,6.5154,9.0,448.02,12.367384816031702,7.548571334246712
2020-03-24,6.4839,9.0,448.02,12.367384816031702,6.601012758121794
2020-03-25,6.5864,9.0,448.02,12.367384816031702,7.933074414565011
2020-03-26,6.4943,9.0,448.02,12.367384816031702,5.79965136927163
2020-03-27,6.4024,9.0,448.02,12.367384816031702,4.583619196968214
2020-03-30,6.456,9.04,448.02,12.367384816031702,5.038803833200478
2020-03-31,6.4346,9.04,448.02,12.367384816031702,4.4696637604922484
2020-04-01,6.516,9.04,450.58,11.85918919589881,4.659567291475919
2020-04-02,6.5696,9.04,450.58,11.85918919589881,5.6341651659377545
2020-04-03,6.6428,9.04,450.58,11.85918919589881,7.240527581809086
2020-04-06,6.6672,8.77,450.58,11.85918919589881,9.470642322343359
2020-04-07,6.6903,8.77,450.58,11.85918919589881,10.088527611399979
2020-04-08,6.7549,8.77,450.58,11.85918919589881,11.061968727906478
2020-04-09,6.7375,8.77,450.58,11.85918919589881,10.273658712232802
2020-04-10,6.7705,8.77,450.58,11.85918919589881,10.717731517064323
2020-04-13,6.7382,8.98,450.58,11.85918919589881,9.5606646938311
2020-04-14,6.6877,8.98,450.58,11.85918919589881,7.40877553642556
