tech_weight,macro_weight,risk_aversion,tilt_strength,max_weight,sharpe,excess_sharpe,ann_return,ann_vol,calmar,max_dd
0.4,0.6,7.0,0.5,0.25,1.886,0.15799999999999992,0.5125197335559569,0.31078594759580697,1.6491084539720409,-0.3490664673263103
0.4,0.6,7.0,0.5,0.3,1.874,0.14600000000000013,0.5196622777052905,0.31705347547185225,1.6390366859467709,-0.38420267762058213
0.4,0.6,10.0,0.0,0.1,1.728,0.0,0.43726854687157085,0.2806828612696055,1.5578740536336468,-0.32397833806178783
0.4,0.6,10.0,0.0,0.15,1.892,0.16399999999999992,0.4808920170421155,0.28909721208767475,1.6634266846415489,-0.30901594161648943
0.4,0.6,10.0,0.0,0.2,1.979,0.2510000000000001,0.5110852093842347,0.2981393649158761,1.7142493394941123,-0.30772792304545893
0.4,0.6,10.0,0.0,0.25,1.906,0.17799999999999994,0.510277493985484,0.3066969388121512,1.6637841119699728,-0.32939498810588297
0.4,0.6,10.0,0.0,0.3,1.9,0.17199999999999993,0.517503252416571,0.3122160019497134,1.6575167486127822,-0.3602164052359068
0.4,0.6,10.0,0.1,0.1,1.728,0.0,0.4372685468527335,0.2806828612686901,1.5578740535716151,-0.32397833806112436
0.4,0.6,10.0,0.1,0.15,1.887,0.15900000000000003,0.480085565515982,0.28916679635687853,1.6602375223034906,-0.31031973498180165
0.4,0.6,10.0,0.1,0.2,1.962,0.23399999999999999,0.508403909243113,0.29843297714872474,1.7035781839543447,-0.3100869867007302
0.4,0.6,10.0,0.1,0.25,1.899,0.17100000000000004,0.5090017531807437,0.30673912924384794,1.6593962251751173,-0.3314855651747867
0.4,0.6,10.0,0.1,0.3,1.895,0.16700000000000004,0.516635786696515,0.312351836505288,1.6540187260521149,-0.364155109708541
0.4,0.6,10.0,0.2,0.1,1.728,0.0,0.4372685468365335,0.28068286126460956,1.5578740535365467,-0.3239783380605043
0.4,0.6,10.0,0.2,0.15,1.883,0.15500000000000003,0.4793052172732449,0.28914453268813073,1.6576665407338693,-0.31139772730350085
0.4,0.6,10.0,0.2,0.2,1.949,0.22100000000000009,0.5063720970510753,0.29868309538139787,1.6953490334110568,-0.31256177070107144
0.4,0.6,10.0,0.2,0.25,1.89,0.16199999999999992,0.5071408442802686,0.30672218029806414,1.6534208376695914,-0.33415064517513987
0.4,0.6,10.0,0.2,0.3,1.883,0.15500000000000003,0.5142615573705992,0.31227275986723424,1.6468345096422834,-0.36807397926111635
0.4,0.6,10.0,0.3,0.1,1.728,0.0,0.43726854676412535,0.2806828612668987,1.5578740532658701,-0.3239783380599184
0.4,0.6,10.0,0.3,0.15,1.879,0.15100000000000002,0.4784136563938476,0.28911607778274256,1.6547459417091064,-0.31181993951231096
0.4,0.6,10.0,0.3,0.2,1.94,0.21199999999999997,0.5048977506446808,0.298885754977171,1.6892666921621775,-0.3142659789887088
0.4,0.6,10.0,0.3,0.25,1.879,0.15100000000000002,0.5048904790635512,0.3066443649795093,1.646501735315727,-0.3373954386733388
0.4,0.6,10.0,0.3,0.3,1.869,0.14100000000000001,0.5112322191449737,0.312158950409129,1.6377304526265568,-0.3721969838050746
0.4,0.6,10.0,0.4,0.1,1.728,0.0,0.4372685468712658,0.2806828612692752,1.5578740536343931,-0.3239783380593582
0.4,0.6,10.0,0.4,0.15,1.877,0.14900000000000002,0.47812173388314555,0.28913403717390623,1.653633513910949,-0.3124728232703675
0.4,0.6,10.0,0.4,0.2,1.932,0.20399999999999996,0.5036438816365246,0.29905322606563395,1.6841279001149738,-0.31578354048084745
0.4,0.6,10.0,0.4,0.25,1.866,0.13800000000000012,0.5022315384154284,0.30650285477342554,1.638586820950462,-0.34062802101898765
0.4,0.6,10.0,0.4,0.3,1.855,0.127,0.5083656959592292,0.3120773560745843,1.6289733492798926,-0.37629686869499956
0.4,0.6,10.0,0.5,0.1,1.728,0.0,0.4372685468306295,0.2806828612682002,1.5578740534955833,-0.3239783380588175
0.4,0.6,10.0,0.5,0.15,1.875,0.14700000000000002,0.47762790777081454,0.2891444512162522,1.651866068194388,-0.3131255370032827
0.4,0.6,10.0,0.5,0.2,1.927,0.19900000000000007,0.5028613755340965,0.29914313261384806,1.681005915597,-0.3173129914475281
0.4,0.6,10.0,0.5,0.25,1.855,0.127,0.4996952761493075,0.30631304706151735,1.6313222076007519,-0.3438482754694703
0.4,0.6,10.0,0.5,0.3,1.839,0.11099999999999999,0.5051686008986983,0.31205499820201593,1.6188447671383424,-0.38037362323871493
0.5,0.5,1.0,0.0,0.1,1.728,0.0,0.43726854736163856,0.2806828612835218,1.5578740553023909,-0.3239783380847306
0.5,0.5,1.0,0.0,0.15,1.94,0.21199999999999997,0.4929924305874365,0.29113021549701523,1.6933743196177824,-0.31604450579887416
0.5,0.5,1.0,0.0,0.2,2.032,0.30400000000000005,0.5325304974753836,0.3053918815548266,1.7437611463806353,-0.3249331289046588
0.5,0.5,1.0,0.0,0.25,1.829,0.10099999999999998,0.5127671048814341,0.31853717997197795,1.6097559001638135,-0.38338075374399533
0.5,0.5,1.0,0.0,0.3,1.804,0.07600000000000007,0.5228565857863494,0.3288164273424866,1.5901169841546743,-0.4108739865872844
0.5,0.5,1.0,0.1,0.1,1.728,0.0,0.43726854734869613,0.2806828612864918,1.557874055239796,-0.3239783380865553
0.5,0.5,1.0,0.1,0.15,1.944,0.21599999999999997,0.4937121610785287,0.2911617287230886,1.6956629679447917,-0.31813947013363586
0.5,0.5,1.0,0.1,0.2,2.0,0.272,0.5274379781657554,0.3060193211866786,1.7235446968526755,-0.32456618264138976
0.5,0.5,1.0,0.1,0.25,1.809,0.08099999999999996,0.5105156041376704,0.3197724519259428,1.5964965120131813,-0.3941218541226921
0.5,0.5,1.0,0.1,0.3,1.79,0.062000000000000055,0.5200256096226227,0.3289494714499866,1.580867746436514,-0.41375468751591465
0.5,0.5,1.0,0.2,0.1,1.728,0.0,0.4372685472597875,0.2806828612807393,1.5578740549549657,-0.3239783380884187
0.5,0.5,1.0,0.2,0.15,1.942,0.21399999999999997,0.49302480341353344,0.29096147529795163,1.6944676366816742,-0.3181394712312314
0.5,0.5,1.0,0.2,0.2,1.965,0.2370000000000001,0.5208164305459073,0.3061305072664838,1.701288888835053,-0.32419951304669314
0.5,0.5,1.0,0.2,0.25,1.841,0.11299999999999999,0.5184788050027967,0.3207678133437689,1.616367925441259,-0.397081893200257
0.5,0.5,1.0,0.2,0.3,1.762,0.03400000000000003,0.5141269336346486,0.32895233602136653,1.562922275770841,-0.41402727657013283
0.5,0.5,1.0,0.3,0.1,1.728,0.0,0.43726854727092956,0.2806828612820656,1.5578740549873007,-0.3239783380904134
0.5,0.5,1.0,0.3,0.15,1.944,0.21599999999999997,0.4943878064977985,0.2915421006009472,1.6957681428470583,-0.3181394713537766
0.5,0.5,1.0,0.3,0.2,1.926,0.19799999999999995,0.5137603283891022,0.3064256802879848,1.6766229511386264,-0.33127053671204704
0.5,0.5,1.0,0.3,0.25,1.844,0.1160000000000001,0.5211336325404047,0.32210804024602,1.6178845835154338,-0.4000354859069986
0.5,0.5,1.0,0.3,0.3,1.77,0.04200000000000004,0.5168567162485279,0.3295695050864062,1.5682783396874627,-0.41435320743622023
0.5,0.5,1.0,0.4,0.1,1.728,0.0,0.43726854746210775,0.28068286126973097,1.5578740557368798,-0.32397833809192206
